very disappointed stayed,3
far too expensive,3
not ready pm,3
non refundable booking,3
loud music playing,3
orange juice arrived,3
boarding cruise thought,3
cruise thought refreshed,3
thought refreshed instead,3
refreshed instead driving,3
instead driving hours,3
driving hours country,3
hours country band,3
country band played,3
band played till,3
played till easrly,3
till easrly hours,3
easrly hours rooms,3
hours rooms flights,3
rooms flights stairs,3
flights stairs suitcases,3
stairs suitcases kidding,3
suitcases kidding rooms,3
kidding rooms old,3
rooms old dirty,3
old dirty taps,3
dirty taps leaked,3
taps leaked air,3
leaked air didnt,3
air didnt work,3
didnt work bathroom,3
work bathroom mould,3
bathroom mould lets,3
mould lets say,3
lets say not,3
say not fit,3
not fit human,3
need say more,3
roll toilet paper,3
kitchen good size,3
not stay not,3
room felt like,3
southern cross station,3
noisy street noise,3
hotel great location,3
very very rude,3
coffee tea sugar,3
charged credit card,3
shower over bath,3
called reception told,3
nights plus bond,3
apartment existing beds,3
night duty manager,3
air conditioner unit,3
got no sleep,3
yes location great,3
good customer service,3
no cancellation policy,3
x bedroom apartment,3
bedroom apartment mr,3
apartment mr mrs,3
below average very,3
air conditioner work,3
wish read reviews,3
car loading zone,3
no shower curtain,3
night thank god,3
accident waiting happen,3
new year ’,3
year ’ s,3
oaks charlotte towers,3
mattress too soft,3
no secure parking,2
told fully booked,2
fully booked following,2
not cleaned time,2
reception no apology,2
no apology given,2
hotel feel like,2
air conditioner not,2
bed hard uncomfortable,2
stayed hotel recently,2
change room told,2
room good size,2
rooms not used,2
room service available,2
stay open only,2
pay recommend staying,2
stay away booked,2
bedroom apartment no,2
mould health hazard,2
booked paid deposit,2
attitude desk staff,2
not given appropriate,2
hotel manager rude,2
felt more like,2
light not working,2
rooms not serviced,2
terrible place stay,2
place stay stayed,2
water over floor,2
rude very unhelpful,2
bar dining room,2
star hotel over,2
not cleaned previous,2
white linen fluff,2
stay over christmas,2
entering room noticed,2
room room not,2
given wrong room,2
room rude staff,2
housekeeping staff member,2
given drink vouchers,2
stayed weekend checked,2
staff training room,2
service poor management,2
price star hotel,2
certainly stay recommend,2
no chopping board,2
no hand towel,2
night manager told,2
staff desk staff,2
terrible not stay,2
not stay booked,2
plenty places stay,2
given key room,2
stayed nights stayed,2
ground floor room,2
room block room,2
very basic looks,2
very small bathroom,2
car park especially,2
park especially early,2
especially early morning,2
queen size bed,2
not look good,2
far worst hotel,2
early morning late,2
morning late night,2
carpet not vacuumed,2
work once turned,2
not stay horrible,2
paid night stay,2
most disappointing experience,2
rooms very dated,2
room extra bed,2
checked night room,2
not cleaned ages,2
roll away bed,2
pay car park,2
rooms dirty internet,2
dirty internet unusable,2
internet unusable such,2
unusable such connect,2
such connect wifi,2
connect wifi connection,2
wifi connection so,2
connection so poor,2
so poor load,2
poor load room,2
load room cleaning,2
room cleaning day,2
cleaning day pathetic,2
day pathetic not,2
pathetic not properly,2
not properly honestly,2
properly honestly worst,2
places stayed staff,2
stayed staff so,2
staff so unhelpful,2
definitely not stay,2
room mould shower,2
no free wifi,2
size bed single,2
not paid so,2
stay room no,2
room no problem,2
pay more room,2
told no rooms,2
beds not good,2
staff very helpful,2
bathroom rang reception,2
rang reception pm,2
not sure stars,2
not cleaned months,2
money hotel very,2
money stay hotel,2
stay hotel hotel,2
not clean not,2
appeared dried blood,2
lounge room small,2
price definitely better,2
green red gunk,2
room ready pm,2
hotel very basic,2
turned air conditioning,2
hotel better price,2
firstly booked room,2
booked room double,2
no staff working,2
only night stay,2
over hour finally,2
shower not work,2
reception clearly not,2
free air channels,2
watch tv read,2
stay stayed nights,2
outside room very,2
stayed numerous times,2
poor not staff,2
not staff food,2
not possible open,2
door not work,2
motel definitely not,2
room very poor,2
continental breakfast included,2
“ star hotel,2
star hotel ”,2
room given not,2
reception only manned,2
kept awake night,2
no staff pm,2
breakfast not arrive,2
good value money,2
not staff member,2
staff member hotel,2
not any sleep,2
hotel more like,2
no way sleep,2
staff aware problem,2
pm room not,2
staff told need,2
told need pay,2
boutique hotel not,2
real hotel so,2
bed very small,2
very small room,2
coffee making facilities,2
waited long time,2
customer service manager,2
spoke hotel manager,2
way surry hills,2
reception not let,2
use service lift,2
strangest hotel stayed,2
hotel stayed firstly,2
stayed firstly aware,2
firstly aware pay,2
aware pay parking,2
pay parking unaware,2
parking unaware parking,2
unaware parking facilities,2
parking facilities hotel,2
facilities hotel street,2
hotel street not,2
street not helpful,2
not helpful traveling,2
helpful traveling luggage,2
traveling luggage weeks,2
luggage weeks secondly,2
weeks secondly stayed,2
secondly stayed hotel,2
stayed hotel reception,2
hotel reception closes,2
reception closes only,2
closes only staffed,2
only staffed pm,2
staffed pm so,2
pm so realized,2
so realized night,2
realized night only,2
night only pillow,2
only pillow no,2
pillow no way,2
no way getting,2
way getting any,2
getting any extras,2
any extras thirdly,2
extras thirdly house,2
thirdly house keeping,2
house keeping very,2
keeping very bizarre,2
very bizarre say,2
bizarre say house,2
say house keeping,2
house keeping weekly,2
keeping weekly understood,2
weekly understood mean,2
understood mean staying,2
mean staying week,2
staying week room,2
week room bedding,2
room bedding changed,2
bedding changed once,2
changed once week,2
once week actually,2
week actually means,2
actually means stay,2
means stay nights,2
stay nights like,2
nights like no,2
like no service,2
no service no,2
service no bin,2
no bin emptied,2
bin emptied no,2
